"name","x.mni","y.mni","z.mni","anat_label","hemi"
"V1",-25,-98,-12,"Left Inferior Occipital Gyrus","L"
"V2",30,-94,-10,"Right Inferior Occipital Gyrus","R"
"V3",24,32,-18,"Right Superior Orbital Gyrus","R"
"V4",-56,-45,-24,"Left Inferior Temporal Gyrus","L"
"V5",8,41,-24,"Right Rectal Gyrus","R"
"V6",-24,-15,-20,"Left Hippocampus","L"
"V7",26,-15,-20,"Right Hippocampus","R"
"V8",-37,-29,-26,"Left Fusiform Gyrus","L"
"V9",65,-24,-19,"Right Inferior Temporal Gyrus","R"
"V10",42,-34,-24,"Right Inferior Temporal Gyrus","R"
"V11",55,-31,-17,"Right Inferior Temporal Gyrus","R"
"V12",34,38,-12,"Right Inferior Frontal Gyrus (p. Orbitalis)","R"
"V13",-7,-52,61,"Left Precuneus","L"
"V14",-14,-18,40,"Within 1 mm: Left Middle Cingulate Cortex","L"
"V15",-4,-16,47,"Left Middle Cingulate Cortex","L"
"V16",10,-2,45,"Right Middle Cingulate Cortex","R"
"V17",-7,-21,65,"Left Paracentral Lobule","L"
"V18",-7,-33,72,"Left Paracentral Lobule","L"
"V19",13,-33,75,"Right Postcentral Gyrus","R"
"V20",-54,-23,43,"Left SupraMarginal Gyrus","L"
"V21",29,-17,71,"RightPrecentral Gyrus","R"
"V22",10,-50,70,"Right Precuneus","R"
"V23",-23,-30,72,"Left Postcentral Gyrus","L"
"V24",-40,-19,54,"Left Precentral Gyrus","L"
"V25",29,-39,59,"Right Postcentral Gyrus","R"
"V26",50,-20,42,"Right Postcentral Gyrus","R"
"V27",-38,-27,67,"Left Postcentral Gyrus","L"
"V28",20,-29,60,"Within 1 mm: RightPrecentral Gyrus","R"
"V29",44,-8,57,"RightPrecentral Gyrus","R"
"V30",-29,-43,61,"Left Postcentral Gyrus","L"
"V31",10,-17,74,"Right SMA","R"
"V32",22,-42,69,"Right Postcentral Gyrus","R"
"V33",-45,-32,47,"Left Postcentral Gyrus","L"
"V34",-21,-31,61,"Left Postcentral Gyrus","L"
"V35",-13,-17,75,"Left Paracentral Lobule","L"
"V36",42,-20,55,"RightPrecentral Gyrus","R"
"V37",-38,-16,64,"Left Precentral Gyrus","L"
"V38",-16,-46,73,"Left Superior Parietal Lobule","L"
"V39",6,-32,62,"Right Paracentral Lobule","R"
"V40",6,-16,58,"Right SMA","R"
"V41",38,-17,45,"RightPrecentral Gyrus","R"
"V42",-49,-11,35,"Left Postcentral Gyrus","L"
"V43",36,-9,14,"Right Insula Lobe","R"
"V44",51,-6,32,"Right Postcentral Gyrus","R"
