"roi"	"label"	"coordinates"
1	"Left Fusiform Gyrus"	"-36 mm [L],  -42 mm [P],  -21 mm [I] {MNI}"
2	"Left Fusiform Gyrus"	"-33 mm [L],  -34 mm [P],  -17 mm [I] {MNI}"
3	"Left Fusiform Gyrus"	"-39 mm [L],  -67 mm [P],  -16 mm [I] {MNI}"
4	"Left Fusiform Gyrus"	"-27 mm [L],  -58 mm [P],   -7 mm [I] {MNI}"
5	"Left Fusiform Gyrus"	"-26 mm [L],  -80 mm [P],  -10 mm [I] {MNI}"
6	"Within 2 mm: Left Lingual Gyrus"	"-38 mm [L],  -87 mm [P],  -17 mm [I] {MNI}"
7	"Left ParaHippocampal Gyrus"	"-21 mm [L],  -38 mm [P],  -11 mm [I] {MNI}"
8	"Left Inferior Occipital Gyrus"	"-47 mm [L],  -72 mm [P],   -9 mm [I] {MNI}"
9	"Left Lingual Gyrus"	"-18 mm [L],  -92 mm [P],  -13 mm [I] {MNI}"
10	"Left Lingual Gyrus"	"-14 mm [L],  -63 mm [P],   -3 mm [I] {MNI}"
11	"Left Lingual Gyrus"	"-8 mm [L],  -78 mm [P],   -3 mm [I] {MNI}"
12	"Within 2 mm: Left Inferior Occipital Gyrus"	"-27 mm [L], -100 mm [P],  -12 mm [I] {MNI}"
13	"Left Lingual Gyrus"	"-15 mm [L],  -43 mm [P],   -5 mm [I] {MNI}"
14	"Within 4 mm: Left Middle Occipital Gyrus"	"-44 mm [L],  -90 mm [P],   -9 mm [I] {MNI}"
15	"Left Inferior Occipital Gyrus"	"-11 mm [L],  -99 mm [P],   -8 mm [I] {MNI}"
16	"Left Calcarine Gyrus"	"-16 mm [L],  -58 mm [P],    4 mm [S] {MNI}"
17	"Left Middle Occipital Gyrus"	"-47 mm [L],  -78 mm [P],    1 mm [S] {MNI}"
18	"Left Calcarine Gyrus"	"-6 mm [L],  -93 mm [P],    1 mm [S] {MNI}"
19	"Left Middle Occipital Gyrus"	"-26 mm [L], -101 mm [P],    3 mm [S] {MNI}"
20	"Left Calcarine Gyrus"	"-16 mm [L],  -50 mm [P],    6 mm [S] {MNI}"
21	"Left Calcarine Gyrus"	"-9 mm [L],  -77 mm [P],   12 mm [S] {MNI}"
22	"Left Calcarine Gyrus"	"-21 mm [L],  -66 mm [P],    9 mm [S] {MNI}"
