vname,x.mni,y.mni,z.mni,anat_label
1,-25,-98,-12,Left Inferior Occipital Gyrus
2,30,-94,-10,Right Inferior Occipital Gyrus
3,24,32,-18,Right Superior Orbital Gyrus
4,-56,-45,-24,Left Inferior Temporal Gyrus
5,8,41,-24,Right Rectal Gyrus
6,-24,-15,-20,Left Hippocampus
7,26,-15,-20,Right Hippocampus
8,-37,-29,-26,Left Fusiform Gyrus
9,65,-24,-19,Right Inferior Temporal Gyrus
10,42,-34,-24,Right Inferior Temporal Gyrus
11,55,-31,-17,Right Inferior Temporal Gyrus
12,34,38,-12,Right Inferior Frontal Gyrus (p. Orbitalis)
13,-7,-52,61,Left Precuneus
14,-14,-18,40,Within 1 mm: Left Middle Cingulate Cortex
15,-4,-16,47,Left Middle Cingulate Cortex
16,10,-2,45,Right Middle Cingulate Cortex
17,-7,-21,65,Left Paracentral Lobule
18,-7,-33,72,Left Paracentral Lobule
19,13,-33,75,Right Postcentral Gyrus
20,-54,-23,43,Left SupraMarginal Gyrus
21,29,-17,71,RightPrecentral Gyrus
22,10,-50,70,Right Precuneus
23,-23,-30,72,Left Postcentral Gyrus
24,-40,-19,54,Left Precentral Gyrus
25,29,-39,59,Right Postcentral Gyrus
26,50,-20,42,Right Postcentral Gyrus
27,-38,-27,67,Left Postcentral Gyrus
28,20,-29,60,Within 1 mm: RightPrecentral Gyrus
29,44,-8,57,RightPrecentral Gyrus
30,-29,-43,61,Left Postcentral Gyrus
31,10,-17,74,Right SMA
32,22,-42,69,Right Postcentral Gyrus
33,-45,-32,47,Left Postcentral Gyrus
34,-21,-31,61,Left Postcentral Gyrus
35,-13,-17,75,Left Paracentral Lobule
36,42,-20,55,RightPrecentral Gyrus
37,-38,-16,64,Left Precentral Gyrus
38,-16,-46,73,Left Superior Parietal Lobule
39,6,-32,62,Right Paracentral Lobule
40,6,-16,58,Right SMA
41,38,-17,45,RightPrecentral Gyrus
42,-49,-11,35,Left Postcentral Gyrus
43,36,-9,14,Right Insula Lobe
44,51,-6,32,Right Postcentral Gyrus
45,-53,-10,24,Left Postcentral Gyrus
46,64,-8,25,Right Postcentral Gyrus
47,-6,2,53,Left SMA
48,54,-28,34,Right SupraMarginal Gyrus
49,19,-8,64,Right Superior Frontal Gyrus
50,-16,-5,71,Left Superior Frontal Gyrus
51,-10,-2,42,Left Middle Cingulate Cortex
52,37,1,-4,Within 1 mm: Right Putamen
53,13,-1,70,Right SMA
54,7,8,51,Right SMA
55,-45,0,9,Left Rolandic Operculum
56,49,8,-1,Right Insula Lobe
57,-34,3,4,Within 1 mm: Left Insula Lobe
58,-51,8,-2,Left Temporal Pole
59,-8,18,34,Left Middle Cingulate Cortex
60,36,10,1,Within 1 mm: Right Insula Lobe
61,32,-26,13,Within 1 mm: Right Insula Lobe
62,65,-33,20,Right Superior Temporal Gyrus
63,58,-16,7,Right Superior Temporal Gyrus
64,-38,-33,17,Left Rolandic Operculum
65,-60,-25,14,Left Superior Temporal Gyrus
66,-49,-26,5,Left Superior Temporal Gyrus
67,43,-23,20,Right Rolandic Operculum
68,-50,-34,26,Left SupraMarginal Gyrus
69,-53,-22,23,Left SupraMarginal Gyrus
70,-55,-9,12,Left Rolandic Operculum
71,56,-5,13,Right Rolandic Operculum
72,59,-17,29,Right SupraMarginal Gyrus
73,-30,-27,12,Within 1 mm: Left Heschls Gyrus
74,-41,-75,26,Left Middle Occipital Gyrus
75,6,67,-4,Right Mid Orbital Gyrus
76,8,48,-15,Right Rectal Gyrus
77,-13,-40,1,Left Precuneus
78,-18,63,-9,Left Superior Orbital Gyrus
79,-46,-61,21,Left Middle Temporal Gyrus
80,43,-72,28,Right Middle Occipital Gyrus
81,-44,12,-34,Left Medial Temporal Pole
82,46,16,-30,Right Medial Temporal Pole
83,-64,-23,-10,Left Middle Temporal Gyrus
84,-58,-26,-20,Left Middle Temporal Gyrus
85,27,16,-17,Right Insula Lobe
86,-44,-65,35,Left Angular Gyrus
87,-36,-75,44,Left Angular Gyrus
88,-7,-55,27,Left Precuneus
89,6,-59,35,Right Precuneus
90,-11,-56,16,Left Precuneus
91,-6,-49,13,Left Precuneus
92,8,-48,31,Right Posterior Cingulate Cortex
93,15,-63,26,Right Precuneus
94,-6,-37,44,Left Middle Cingulate Cortex
95,11,-54,17,Right Precuneus
96,52,-59,36,Right Angular Gyrus
97,23,33,48,Right Superior Frontal Gyrus
98,-10,39,52,Left Superior Medial Gyrus
99,-16,29,53,Left Superior Frontal Gyrus
100,-35,20,51,Left Middle Frontal Gyrus
101,22,39,39,Right Superior Frontal Gyrus
102,13,55,38,Right Superior Medial Gyrus
103,-10,55,39,Left Superior Frontal Gyrus
104,-20,45,39,Left Superior Frontal Gyrus
105,6,54,16,Right Superior Medial Gyrus
106,6,64,22,Right Superior Medial Gyrus
107,-7,51,-1,Left Anterior Cingulate Cortex
108,9,54,3,Right Superior Medial Gyrus
109,-6,44,-9,Left Mid Orbital Gyrus
110,8,42,-5,Right Mid Orbital Gyrus
111,-11,45,8,Left Anterior Cingulate Cortex
112,-6,38,36,Left Superior Medial Gyrus
113,-4,42,16,Left Anterior Cingulate Cortex
114,-20,64,19,Left Superior Frontal Gyrus
115,-8,48,24,Left Superior Medial Gyrus
116,64,-12,-18,Right Middle Temporal Gyrus
117,-56,-13,-10,Left Middle Temporal Gyrus
118,-58,-30,-4,Left Middle Temporal Gyrus
119,65,-31,-9,Right Middle Temporal Gyrus
120,-64,-41,-5,Left Middle Temporal Gyrus
121,13,30,59,Right Superior Medial Gyrus
122,8,41,19,Right Anterior Cingulate Cortex
123,52,-2,-16,Right Middle Temporal Gyrus
124,-26,-40,-8,Left ParaHippocampal Gyrus
125,27,-37,-13,Right Fusiform Gyrus
126,-34,-38,-16,Left Fusiform Gyrus
127,28,-77,-32,Right Cerebellum
128,52,7,-30,Right Middle Temporal Gyrus
129,-53,3,-27,Left Middle Temporal Gyrus
130,47,-50,29,Right Angular Gyrus
131,-49,-42,1,Left Middle Temporal Gyrus
132,-31,19,-19,Left Insula Lobe
133,-6,-35,31,Left Posterior Cingulate Cortex
134,-7,-71,42,Left Precuneus
135,11,-66,42,Right Precuneus
136,4,-48,51,Right Precuneus
137,-46,31,-13,Left Inferior Frontal Gyrus (p. Orbitalis)
138,-10,11,67,Left SMA
139,49,35,-12,Right Inferior Frontal Gyrus (p. Orbitalis)
140,8,-91,-7,Right Lingual Gyrus
141,17,-91,-14,Right Lingual Gyrus
142,-12,-95,-13,Left Lingual Gyrus
143,18,-47,-10,Right Lingual Gyrus
144,40,-72,14,Right Middle Occipital Gyrus
145,8,-72,11,Right Calcarine Gyrus
146,-8,-81,7,Left Calcarine Gyrus
147,-28,-79,19,Left Middle Occipital Gyrus
148,20,-66,2,Right Lingual Gyrus
149,-24,-91,19,Left Middle Occipital Gyrus
150,27,-59,-9,Right Lingual Gyrus
151,-15,-72,-8,Left Lingual Gyrus
152,-18,-68,5,Left Calcarine Gyrus
153,43,-78,-12,Right Inferior Occipital Gyrus
154,-47,-76,-10,Left Inferior Occipital Gyrus
155,-14,-91,31,Left Superior Occipital Gyrus
156,15,-87,37,Right Cuneus
157,29,-77,25,Right Middle Occipital Gyrus
158,20,-86,-2,Right Lingual Gyrus
159,15,-77,31,Right Cuneus
160,-16,-52,-1,Left Lingual Gyrus
161,42,-66,-8,Right Inferior Temporal Gyrus
162,24,-87,24,Right Superior Occipital Gyrus
163,6,-72,24,Right Cuneus
164,-42,-74,0,Left Middle Occipital Gyrus
165,26,-79,-12,Right Fusiform Gyrus
166,-16,-77,34,Left Cuneus
167,-3,-81,21,Left Cuneus
168,-40,-88,-6,Left Middle Occipital Gyrus
169,37,-84,13,Right Middle Occipital Gyrus
170,6,-81,6,Right Calcarine Gyrus
171,-26,-90,3,Left Middle Occipital Gyrus
172,-33,-79,-13,Left Fusiform Gyrus
173,37,-81,1,Right Middle Occipital Gyrus
174,-44,2,46,Left Precentral Gyrus
175,48,25,27,Right Inferior Frontal Gyrus (p. Triangularis)
176,-47,11,23,Left Inferior Frontal Gyrus (p. Opercularis)
177,-53,-49,43,Left Inferior Parietal Lobule
178,-23,11,64,Left Superior Frontal Gyrus
179,58,-53,-14,Right Inferior Temporal Gyrus
180,24,45,-15,Right Superior Orbital Gyrus
181,34,54,-13,Right Middle Orbital Gyrus
182,-21,38,-18,Left Middle Orbital Gyrus
183,-18,-76,-24,Left Cerebellum
184,17,-80,-34,Right Cerebellum
185,35,-67,-34,Right Cerebellum
186,47,10,33,Right Inferior Frontal Gyrus (p. Opercularis)
187,-41,6,33,Left Precentral Gyrus
188,-42,38,21,Left Middle Frontal Gyrus
189,38,43,15,Right Middle Frontal Gyrus
190,49,-42,45,Right SupraMarginal Gyrus
191,-28,-58,48,Left Inferior Parietal Lobule
192,48,-54,46,Right Inferior Parietal Lobule
193,32,14,56,Right Middle Frontal Gyrus
194,37,-65,40,Right Angular Gyrus
195,-42,-55,45,Left Angular Gyrus
196,40,18,40,Right Middle Frontal Gyrus
197,-34,55,4,Left Middle Frontal Gyrus
198,-42,45,-2,Left Middle Orbital Gyrus
199,33,-53,44,Right Angular Gyrus
200,43,49,-2,Right Middle Orbital Gyrus
201,-42,25,30,Left Inferior Frontal Gyrus (p. Triangularis)
202,-6,26,44,Left Superior Medial Gyrus
203,11,-39,50,Right Middle Cingulate Cortex
204,55,-45,37,Right SupraMarginal Gyrus
205,42,0,47,RightPrecentral Gyrus
206,31,33,26,Right Middle Frontal Gyrus
207,48,22,10,Right Inferior Frontal Gyrus (p. Triangularis)
208,-35,20,0,Left Insula Lobe
209,36,22,3,Right Insula Lobe
210,37,32,-2,Right Inferior Frontal Gyrus (p. Orbitalis)
211,34,16,-8,Right Insula Lobe
212,-10,34,22,Within 1 mm: Left Anterior Cingulate Cortex
213,-4,14,44,Left SMA
214,-28,52,21,Left Middle Frontal Gyrus
215,-4,30,28,Left Anterior Cingulate Cortex
216,5,23,37,Right Middle Cingulate Cortex
217,10,27,31,Right Anterior Cingulate Cortex
218,31,56,14,Right Superior Frontal Gyrus
219,26,50,27,Right Middle Frontal Gyrus
220,-39,51,17,Left Middle Frontal Gyrus
221,6,-24,30,Right Middle Cingulate Cortex
222,8,-22,0,Right Thalamus
223,-2,-13,12,Left Thalamus
224,-10,-18,7,Left Thalamus
225,12,-17,8,Right Thalamus
226,-5,-28,-4,Within 3 mm: Left Thalamus
227,-22,7,-5,Left Putamen
228,-12.7,10.7,12.2,Left Caudate Nucleus
229,31,-14,2,Right Putamen
230,23,10,1,Right Putamen
231,29,1,4,Right Putamen
232,-31,-11,0,Left Putamen
233,10,13,10,Right Caudate Nucleus
234,9,-4,6,Within 1 mm: Right Thalamus
235,54,-43,22,Right Superior Temporal Gyrus
236,-56,-50,10,Left Middle Temporal Gyrus
237,-55,-40,14,Left Superior Temporal Gyrus
238,52,-33,8,Right Superior Temporal Gyrus
239,51,-29,-4,Right Middle Temporal Gyrus
240,56,-46,11,Right Middle Temporal Gyrus
241,53,33,1,Right Inferior Frontal Gyrus (p. Triangularis)
242,-49,25,-1,Left Inferior Frontal Gyrus (p. Triangularis)
243,-16,-65,-20,Left Cerebellum
244,-32,-55,-25,Left Cerebellum
245,22,-58,-23,Right Cerebellum
246,1,-62,-18,Cerebellar Vermis
247,33,-12,-34,Right Fusiform Gyrus
248,-31,-10,-36,Left Fusiform Gyrus
251,10,-62,61,Right Precuneus
252,-52,-63,5,Left Middle Temporal Gyrus
253,-47,-51,-21,Left Inferior Temporal Gyrus
254,46,-47,-17,Right Inferior Temporal Gyrus
255,47,-30,49,Right Postcentral Gyrus
256,22,-65,48,Right Superior Parietal Lobule
257,46,-59,4,Right Middle Temporal Gyrus
258,25,-58,60,Right Superior Parietal Lobule
259,-33,-46,47,Left Inferior Parietal Lobule
260,-27,-71,37,Left Middle Occipital Gyrus
261,-32,-1,54,Left Precentral Gyrus
262,-42,-60,-9,Left Inferior Temporal Gyrus
263,-17,-59,64,Left Superior Parietal Lobule
264,29,-5,54,RightPrecentral Gyrus
265,22.8,-2.2,-19,Right Amygdala
266,-23.4,-3.4,-18.5,Left Amygdala
267,2,24.5,-13,Right Mid Orbital Gyrus
268,56,-54,19,Right TPJ
269,-56,-56,18,Left TPJ
270,10,8,-8,Right Ventral Striatum
