"name","x.mni","y.mni","z.mni","anat_label","hemi"
"roi1",-34.3988,-42.2696,-20.7688,"Left Fusiform Gyrus","L"
"roi2",-31.648,-33.249,-17.2897,"Left Fusiform Gyrus","L"
"roi3",-37.2929,-64.3682,-16.2224,"Left Fusiform Gyrus","L"
"roi4",-26.2178,-55.9863,-7.65914,"Left Lingual Gyrus","L"
"roi5",-25.2483,-76.2559,-9.64523,"Left Fusiform Gyrus","L"
"roi6",-37.1194,-84.8533,-15.9633,"Within 1 mm: Left Fusiform Gyrus","L"
"roi7",-19.5857,-36.9973,-11.0888,"Left ParaHippocampal Gyrus","L"
"roi8",-46.6867,-71.1641,-8.9295,"Left Inferior Occipital Gyrus","L"
"roi9",-18.0068,-89.2607,-13.6496,"Left Lingual Gyrus","L"
"roi10",-13.8527,-61.7739,-3.81835,"Left Lingual Gyrus","L"
"roi11",-7.48106,-76.9042,-4.33421,"Left Lingual Gyrus","L"
"roi12",-26.3192,-98.5164,-11.3822,"Within 1 mm: Left Inferior Occipital Gyrus","L"
"roi13",-14.3462,-42.6675,-4.39625,"Left Lingual Gyrus","L"
"roi14",-42.8919,-88.3054,-5.83919,"Within 1 mm: Left Middle Occipital Gyrus","L"
"roi15",-9.47079,-98.6794,-6.93073,"Left Calcarine Gyrus","L"
"roi16",-15.2902,-57.7873,2.84586,"Left Lingual Gyrus","L"
"roi17",-46.9684,-76.1572,3.47369,"Left Middle Occipital Gyrus","L"
"roi18",-5.74178,-90.5157,1.69464,"Left Calcarine Gyrus","L"
"roi19",-25.7323,-98.4741,4.80526,"Left Middle Occipital Gyrus","L"
"roi20",-14.8679,-49.3238,4.99405,"Left Calcarine Gyrus","L"
"roi21",-8.4118,-75.7455,10.9385,"Left Calcarine Gyrus","L"
"roi22",-19.8886,-65.0512,8.86349,"Left Calcarine Gyrus","L"
"roi23",-39.7012,-87.117,9.06229,"Left Middle Occipital Gyrus","L"
"roi24",-12.5534,-98.0865,17.4839,"Left Superior Occipital Gyrus","L"
"roi25",-4.38374,-85.4999,25.8097,"Left Cuneus","L"
"roi26",-13.0693,-71.8943,22.3245,"Left Cuneus","L"
"roi27",-26.6336,-87.8089,19.3337,"Left Middle Occipital Gyrus","L"
"roi28",-33.8647,-86.7185,24.3129,"Left Middle Occipital Gyrus","L"
"roi29",-18.06,-90.27,33.43,"Left Superior Occipital Gyrus","L"
"roi30",-14.299,-81.9154,37.2173,"Left Cuneus","L"
"roi31",-24.1348,-80.2599,44.3738,"Left Superior Parietal Lobule","L"
"roi32",-51.8878,-9.87248,1.70618,"Left Superior Temporal Gyrus","L"
"roi33",-58.3827,-21.9784,8.8373,"Left Superior Temporal Gyrus","L"
"roi34",-37.4024,-23.5967,10.8043,"Left Heschls Gyrus","L"
"roi35",-40.0375,-8.81251,13.975,"Left Rolandic Operculum","L"
"roi36",-38.5118,-26.7523,20.537,"Left Rolandic Operculum","L"
"roi37",-62.3664,-38.7195,16.9929,"Left Superior Temporal Gyrus","L"
"roi38",-43.3416,-35.1903,15.8344,"Left Superior Temporal Gyrus","L"
"roi39",-51.3091,-13.5371,15.551,"Left Postcentral Gyrus","L"
"roi40",-62.0167,-2.86667,11.8667,"Left Rolandic Operculum","L"
"roi41",-51.7094,-25.5224,19.7182,"Left SupraMarginal Gyrus","L"
"roi42",-63.6759,-18.3266,22.2593,"Left Postcentral Gyrus","L"
"roi43",-61.4239,-1.53593,24.5128,"Left Postcentral Gyrus","L"
"roi44",-64.7551,-10.4743,32.5441,"Within 1 mm: Left Postcentral Gyrus","L"
"roi45",-55.29,-8.31001,30.65,"Left Precentral Gyrus","L"
"roi46",-57.9634,-21.4328,41.7552,"Left SupraMarginal Gyrus","L"
"roi47",-53.5546,-7.6736,43.8721,"Left Postcentral Gyrus","L"
"roi48",-51.0075,-16.4154,41.6248,"Left Postcentral Gyrus","L"
"roi49",-8.90501,-14.0028,48.2548,"Left SMA","L"
"roi50",-42.4648,-15.125,48.9861,"Left Postcentral Gyrus","L"
"roi51",-50.7448,-17.7359,55.6774,"Left Postcentral Gyrus","L"
"roi52",-50.6448,-28.1708,58.718,"Left Postcentral Gyrus","L"
"roi53",-40.4618,-24.4763,54.1645,"Left Postcentral Gyrus","L"
"roi54",-9.21494,-39.2825,56.9955,"Left Precuneus","L"
"roi55",-5.37904,-26.4952,58.1758,"Left Paracentral Lobule","L"
"roi56",-4.88609,-9.08611,59.1588,"Left SMA","L"
"roi57",-36.4083,-17.975,66.0667,"Left Precentral Gyrus","L"
"roi58",-33.1852,-44.9917,64.2237,"Left Superior Parietal Lobule","L"
"roi59",-33.7682,-27.4539,63.2682,"Left Precentral Gyrus","L"
"roi60",-33.2425,-35.8734,65.8486,"Left Postcentral Gyrus","L"
"roi61",-23.1428,-12.7686,68.3595,"Left Precentral Gyrus","L"
"roi62",-19.8589,-26.1873,69.544,"Left Precentral Gyrus","L"
"roi63",-10.8396,-44.1767,72.6762,"Left Precuneus","L"
"roi64",-4.37,-28.0612,70.6486,"Left Paracentral Lobule","L"
"roi65",-11.6402,-14.4939,74.724,"Left Paracentral Lobule","L"
"roi66",-19.1305,-31.923,71.5292,"Left Postcentral Gyrus","L"
"roi67",-21.666,-40.6473,73.0467,"Left Postcentral Gyrus","L"
"roi68",-11.6078,-30.1469,75.4281,"Left Paracentral Lobule","L"
"roi69",-46.9409,-43.7562,-20.5393,"Left Inferior Temporal Gyrus","L"
"roi70",-50.9876,-56.6413,-15.1303,"Left Inferior Temporal Gyrus","L"
"roi71",-55.8601,-63.9932,-0.522484,"Left Middle Temporal Gyrus","L"
"roi72",-48.8722,-68.6056,12.6167,"Left Middle Temporal Gyrus","L"
"roi73",-28.4086,-72.2477,30.8836,"Left Middle Occipital Gyrus","L"
"roi74",-57.6782,-31.6056,44.2556,"Left Inferior Parietal Lobule","L"
"roi75",-24.1404,-66.9496,50.7533,"Left Superior Parietal Lobule","L"
"roi76",-48.4009,-28.8342,44.3895,"Left Inferior Parietal Lobule","L"
"roi77",-36.7705,-46.3274,43.3197,"Left Inferior Parietal Lobule","L"
"roi78",-31.164,-59.9988,53.669,"Left Superior Parietal Lobule","L"
"roi79",-42.6097,-35.9968,50.9617,"Left Postcentral Gyrus","L"
"roi80",-40.9383,-49.5033,57.4945,"Left Inferior Parietal Lobule","L"
"roi81",-15.0265,-71.1835,59.4605,"Left Precuneus","L"
"roi82",-32.5119,-59.9458,64.3898,"Left Superior Parietal Lobule","L"
"roi83",-8.52643,-57.7571,65.9879,"Left Precuneus","L"
"roi84",-23.7267,-55.6819,68.2543,"Left Superior Parietal Lobule","L"
"roi85",-17.375,-51.875,73.475,"Left Superior Parietal Lobule","L"
"roi86",-43.0871,-5.4051,53.4985,"Left Precentral Gyrus","L"
"roi87",-27.0624,-3.3358,57.379,"Left Precentral Gyrus","L"
"roi88",-31.3651,-8.72124,53.2089,"Left Precentral Gyrus","L"
"roi89",-21.9339,0.284637,68.0512,"Left Superior Frontal Gyrus","L"
"roi90",-52.1162,6.6077,26.4391,"Left Precentral Gyrus","L"
"roi91",-52.7892,2.18733,39.7669,"Left Precentral Gyrus","L"
"roi92",-57.6974,-34.6149,24.5825,"Left SupraMarginal Gyrus","L"
"roi93",-60.5398,-47.2188,28.1596,"Left SupraMarginal Gyrus","L"
"roi94",-63.6387,-24.2683,33.6843,"Left SupraMarginal Gyrus","L"
"roi95",-64.0381,-38.515,33.4647,"Left SupraMarginal Gyrus","L"
"roi96",-58.3139,-54.7738,10.16,"Left Middle Temporal Gyrus","L"
"roi97",-46.1045,6.00363,-16.2073,"Left Temporal Pole","L"
"roi98",-40.6423,2.39615,-4.40385,"Left Insula Lobe","L"
"roi99",-35.1214,24.9786,-1.20715,"Left Inferior Frontal Gyrus (p. Triangularis)","L"
"roi100",-41.6911,-13.9532,-1.40443,"Left Superior Temporal Gyrus","L"
"roi101",-35.4236,19.4971,7.9241,"Left Insula Lobe","L"
"roi102",-38.6577,4.77884,11.1664,"Left Insula Lobe","L"
"roi103",-46.7594,11.4877,1.9434,"Left Inferior Frontal Gyrus (p. Opercularis)","L"
