"vname","x.mni","y.mni","z.mni","anat_label","hemi","X7_networks"
1,-34.3988,-42.2696,-20.7688,"Left Fusiform Gyrus","L","Vis"
2,-31.648,-33.249,-17.2897,"Left Fusiform Gyrus","L","Vis"
3,-37.2929,-64.3682,-16.2224,"Left Fusiform Gyrus","L","Vis"
4,-26.2178,-55.9863,-7.65914,"Left Lingual Gyrus","L","Vis"
5,-25.2483,-76.2559,-9.64523,"Left Fusiform Gyrus","L","Vis"
6,-37.1194,-84.8533,-15.9633,"Within 1 mm: Left Fusiform Gyrus","L","Vis"
7,-19.5857,-36.9973,-11.0888,"Left ParaHippocampal Gyrus","L","Vis"
8,-46.6867,-71.1641,-8.9295,"Left Inferior Occipital Gyrus","L","Vis"
9,-18.0068,-89.2607,-13.6496,"Left Lingual Gyrus","L","Vis"
10,-13.8527,-61.7739,-3.81835,"Left Lingual Gyrus","L","Vis"
11,-7.48106,-76.9042,-4.33421,"Left Lingual Gyrus","L","Vis"
12,-26.3192,-98.5164,-11.3822,"Within 1 mm: Left Inferior Occipital Gyrus","L","Vis"
13,-14.3462,-42.6675,-4.39625,"Left Lingual Gyrus","L","Vis"
14,-42.8919,-88.3054,-5.83919,"Within 1 mm: Left Middle Occipital Gyrus","L","Vis"
15,-9.47079,-98.6794,-6.93073,"Left Calcarine Gyrus","L","Vis"
16,-15.2902,-57.7873,2.84586,"Left Lingual Gyrus","L","Vis"
17,-46.9684,-76.1572,3.47369,"Left Middle Occipital Gyrus","L","Vis"
18,-5.74178,-90.5157,1.69464,"Left Calcarine Gyrus","L","Vis"
19,-25.7323,-98.4741,4.80526,"Left Middle Occipital Gyrus","L","Vis"
20,-14.8679,-49.3238,4.99405,"Left Calcarine Gyrus","L","Vis"
21,-8.4118,-75.7455,10.9385,"Left Calcarine Gyrus","L","Vis"
22,-19.8886,-65.0512,8.86349,"Left Calcarine Gyrus","L","Vis"
23,-39.7012,-87.117,9.06229,"Left Middle Occipital Gyrus","L","Vis"
24,-12.5534,-98.0865,17.4839,"Left Superior Occipital Gyrus","L","Vis"
25,-4.38374,-85.4999,25.8097,"Left Cuneus","L","Vis"
26,-13.0693,-71.8943,22.3245,"Left Cuneus","L","Vis"
27,-26.6336,-87.8089,19.3337,"Left Middle Occipital Gyrus","L","Vis"
28,-33.8647,-86.7185,24.3129,"Left Middle Occipital Gyrus","L","Vis"
29,-18.06,-90.27,33.43,"Left Superior Occipital Gyrus","L","Vis"
30,-14.299,-81.9154,37.2173,"Left Cuneus","L","Vis"
