,estimate,estimate1,estimate2,statistic,p.value,parameter,conf.low,conf.high,method,alternative,nodenum,density,metric,term,std.error,nodename
1,205.8598043,341.2428597,135.3830554,2.923405432,0.004995124,55.75188754,64.78212797,346.9374807,Welch Two Sample t-test,two.sided,33,0.02,betweenness.node,NA,NA,Left Postcentral Gyrus
2,197.4869506,279.9000997,82.41314909,2.979439819,0.004402138,51.36360241,64.44064407,330.5332571,Welch Two Sample t-test,two.sided,216,0.02,betweenness.node,NA,NA,Right Middle Cingulate Cortex
3,-173.3867147,146.6322857,320.0190004,-3.134642116,0.002639492,61.36514063,-283.9787482,-62.79468121,Welch Two Sample t-test,two.sided,221,0.04,betweenness.node,NA,NA,Right Middle Cingulate Cortex
4,-48.08692271,109.4169902,157.5039129,-3.164378722,0.00225251,74.31957871,-78.36409495,-17.80975046,Welch Two Sample t-test,two.sided,206,0.2,betweenness.node,NA,NA,Right Middle Frontal Gyrus
5,-128.3540993,120.8744956,249.2285949,-3.249350523,0.001879281,61.32986069,-207.3335652,-49.37463343,Welch Two Sample t-test,two.sided,200,0.08,betweenness.node,NA,NA,Right Middle Orbital Gyrus
6,-143.9343454,118.5078326,262.442178,-3.243684001,0.00197741,56.86752685,-232.7956855,-55.07300536,Welch Two Sample t-test,two.sided,200,0.09,betweenness.node,NA,NA,Right Middle Orbital Gyrus
7,-67.07285632,100.5937518,167.6666081,-2.923952216,0.004772332,64.10026796,-112.8976125,-21.24810009,Welch Two Sample t-test,two.sided,200,0.15,betweenness.node,NA,NA,Right Middle Orbital Gyrus
8,-53.18350821,88.07796896,141.2614772,-3.044016346,0.0034246,61.9085685,-88.10954978,-18.25746665,Welch Two Sample t-test,two.sided,200,0.19,betweenness.node,NA,NA,Right Middle Orbital Gyrus
9,180.9347024,305.0972934,124.1625909,2.968798845,0.004373702,56.74087312,58.88151717,302.9878877,Welch Two Sample t-test,two.sided,5,0.03,betweenness.node,NA,NA,Right Rectal Gyrus
10,197.3676921,327.1671063,129.7994142,3.588590842,0.000652938,62.56697932,87.4467493,307.288635,Welch Two Sample t-test,two.sided,5,0.04,betweenness.node,NA,NA,Right Rectal Gyrus
11,168.6680524,277.7495101,109.0814578,3.471606139,0.001010118,55.42515212,71.318282,266.0178227,Welch Two Sample t-test,two.sided,5,0.05,betweenness.node,NA,NA,Right Rectal Gyrus
12,142.8686734,278.1519329,135.2832594,3.014054942,0.003712499,62.92490316,48.14348224,237.5938647,Welch Two Sample t-test,two.sided,5,0.06,betweenness.node,NA,NA,Right Rectal Gyrus
13,148.5398456,278.2455738,129.7057282,3.424324131,0.001148908,56.94832045,61.67547505,235.4042162,Welch Two Sample t-test,two.sided,5,0.07,betweenness.node,NA,NA,Right Rectal Gyrus
14,116.3253906,237.569983,121.2445924,3.007353455,0.003697754,67.62797178,39.132327,193.5184542,Welch Two Sample t-test,two.sided,5,0.12,betweenness.node,NA,NA,Right Rectal Gyrus
15,115.1189881,223.562072,108.4430839,3.545834373,0.000758457,61.02672388,50.19982356,180.0381526,Welch Two Sample t-test,two.sided,5,0.13,betweenness.node,NA,NA,Right Rectal Gyrus
16,96.33793791,204.8585713,108.5206334,3.354433652,0.001356527,62.41108627,38.93582925,153.7400466,Welch Two Sample t-test,two.sided,5,0.14,betweenness.node,NA,NA,Right Rectal Gyrus
17,88.00024987,193.4235977,105.4233479,3.350463377,0.001330815,66.74805426,35.57125657,140.4292432,Welch Two Sample t-test,two.sided,5,0.15,betweenness.node,NA,NA,Right Rectal Gyrus
18,79.26014137,200.0412091,120.7810677,2.896682463,0.004978725,72.73422329,24.72362901,133.7966537,Welch Two Sample t-test,two.sided,49,0.11,betweenness.node,NA,NA,Right Superior Frontal Gyrus
19,-94.17356748,112.7441111,206.9176786,-3.10300422,0.002765771,69.76256343,-154.706678,-33.64045698,Welch Two Sample t-test,two.sided,218,0.11,betweenness.node,NA,NA,Right Superior Frontal Gyrus
20,-93.51375659,109.8289443,203.3427008,-3.12614231,0.002600393,68.36237021,-153.1994231,-33.82809008,Welch Two Sample t-test,two.sided,218,0.12,betweenness.node,NA,NA,Right Superior Frontal Gyrus
21,-74.95176106,107.3973904,182.3491515,-2.97213789,0.003995885,73.48507303,-125.205834,-24.69768815,Welch Two Sample t-test,two.sided,218,0.13,betweenness.node,NA,NA,Right Superior Frontal Gyrus
22,-74.37321265,102.971729,177.3449417,-3.372985129,0.00119792,72.2573708,-118.3257539,-30.42067138,Welch Two Sample t-test,two.sided,218,0.14,betweenness.node,NA,NA,Right Superior Frontal Gyrus
