"","term","estimate","std.error","statistic","p.value","nodenum","nodename","metric","community","community.name"
"1","age",0.0696641315476464,0.0236584799963669,2.94457342814687,0.00430382152092967,"V17","Left Paracentral Lobule","central",1,"SOMMOTOR"
"2","age",0.111623670454782,0.0309268704034717,3.60927791912149,0.000540544163438073,"V196","Right Middle Frontal Gyrus","central",2,"FPN/DA"
"3","groupBPD",2.89600072449792,0.900216325655347,3.2170053374556,0.00188729090893669,"V196","Right Middle Frontal Gyrus","central",2,"FPN/DA"
"4","age:groupBPD",-0.130850745616549,0.0424374258636885,-3.08338083551178,0.00283002305480506,"V196","Right Middle Frontal Gyrus","central",2,"FPN/DA"
"5","age",-0.223776354137922,0.0760082178411826,-2.94410736751514,0.00434406293725464,"V155","Left Superior Occipital Gyrus","integration",3,"OCC"
"6","age",-0.126385760826119,0.0411546377945612,-3.07099679644907,0.00304744212524088,"V159","Right Cuneus","integration",3,"OCC"
"7","age",-0.0539645071500911,0.0141113264817489,-3.82419804544151,0.00027404466195069,"V187","Left Precentral Gyrus","integration",2,"FPN/DA"
"8","groupBPD",-1.44373773236791,0.421338346125895,-3.42655195199471,0.00100744290506882,"V187","Left Precentral Gyrus","integration",2,"FPN/DA"
"9","age:groupBPD",0.063160586071044,0.0197329789621992,3.20076285451049,0.00203024247568795,"V187","Left Precentral Gyrus","integration",2,"FPN/DA"
"10","age",-0.0494685436723936,0.0167785456781118,-2.94832130396898,0.00424965315700021,"V230","Right Putamen","integration",1,"SOMMOTOR"
"11","groupBPD",1.42424085439355,0.417869155541427,3.40834166749681,0.00104306410630084,"V243","Left Cerebellum","integration",1,"SOMMOTOR"
"12","age:groupBPD",-0.0593669176600715,0.0197248155531735,-3.00975780990358,0.00353462559746909,"V243","Left Cerebellum","integration",1,"SOMMOTOR"
"13","groupBPD",2.0256532702723,0.690726127777478,2.93264318347153,0.00443115858047727,"V43","Right Insula Lobe","integration",1,"SOMMOTOR"
"14","age",-0.0536116767406882,0.0137996518171945,-3.88500213272682,0.000215204040807437,"V57","Within 1 mm: Left Insula Lobe","integration",1,"SOMMOTOR"
"15","groupBPD",2.8310329919727,0.952714148075042,2.97154503026201,0.00411648179925428,"V64","Left Rolandic Operculum","integration",1,"SOMMOTOR"
"16","groupBPD",-2.39015030054857,0.797420311441765,-2.99735317279177,0.00366799233516213,"V229","Right Putamen","within.mod",1,"SOMMOTOR"
"17","age",0.0849772500615792,0.0284309397724517,2.98890049860112,0.00377304873728868,"V57","Within 1 mm: Left Insula Lobe","within.mod",1,"SOMMOTOR"
"18","age",-0.121524948660031,0.0273246150056849,-4.44745328103427,2.86390793582392e-05,"V95","Right Precuneus","within.mod",5,"DMN"
"19","groupBPD",-2.67748705059796,0.795919436751784,-3.36401767184505,0.00119638334242889,"V95","Right Precuneus","within.mod",5,"DMN"
